id,type,title,url,slug,words,h1_count,h2_count,h3_count,images,internal_links,faq_count,date,modified,heading_fingerprint,problem_categories,notes
12801,post,شركة شحن سيارات بجدة,https://www.rukn-eltatawer.com/sa/car-shipping-jeddah/,car-shipping-jeddah,1097,0,15,6,2,21,0,2026-09-13,2026-09-13,5d2b2e23426d7bea|n=12,intent_mismatch,عنوان شحن سيارات بينما النص يعامل الخدمة كخدمة منزل/عقار
12804,post,شركة شحن سيارات بالدمام,https://www.rukn-eltatawer.com/sa/car-shipping-dammam/,car-shipping-dammam,1723,0,23,32,2,58,0,2026-09-06,2026-09-10,5d56c09574723d7c|n=12,boilerplate_overuse|intent_mismatch,عنوان شحن سيارات بينما النص يعامل الخدمة كخدمة منزل/عقار || شحن سيارات يستخدم صياغة انتقال المنازل
12820,post,شركة شحن داخلي داخل بالدمام,https://www.rukn-eltatawer.com/sa/domestic-shipping-dammam/,domestic-shipping-dammam,1737,0,23,32,2,58,0,2026-09-06,2026-09-10,9ee36a49251b78f6|n=12,boilerplate_overuse|intent_mismatch,عنوان شحن بينما الأسئلة تفترض شقق وفلل
12796,post,شركة شحن أثاث بالدمام,https://www.rukn-eltatawer.com/sa/furniture-shipping-dammam/,furniture-shipping-dammam,1734,0,23,32,2,58,0,2026-09-06,2026-09-09,06a72c363b8e4f91|n=12,boilerplate_overuse|intent_mismatch,عنوان شحن بينما الأسئلة تفترض شقق وفلل
10984,post,شركة تنظيف وصيانة دكتات المكيفات بالدمام,https://www.rukn-eltatawer.com/sa/duct-cleaning-dammam/,duct-cleaning-dammam,1857,0,23,31,2,57,0,2026-09-06,2026-09-10,c2b135d5dc57c209|n=12,boilerplate_overuse|intent_mismatch,عنوان عن تكييف بينما النص/الأسئلة تتحدث عن تنظيف منازل أو رخام وخشب
12803,post,شركة شحن سيارات بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/car-shipping-medina/,car-shipping-medina,1811,0,23,30,2,56,0,2026-09-06,2026-09-10,4902b151551d7235|n=12,boilerplate_overuse|intent_mismatch,عنوان شحن سيارات بينما النص يعامل الخدمة كخدمة منزل/عقار || شحن سيارات يستخدم صياغة انتقال المنازل
12819,post,شركة شحن داخلي داخل بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/domestic-shipping-medina/,domestic-shipping-medina,1814,0,23,32,2,58,0,2026-09-06,2026-09-10,0c9e1bf12ed72921|n=12,boilerplate_overuse|intent_mismatch,عنوان شحن بينما الأسئلة تفترض شقق وفلل
12795,post,شركة شحن أثاث بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/furniture-shipping-medina/,furniture-shipping-medina,1828,0,23,32,2,58,0,2026-09-06,2026-09-10,06a72c363b8e4f91|n=12,boilerplate_overuse|intent_mismatch,عنوان شحن بينما الأسئلة تفترض شقق وفلل
10958,post,شركة تنظيف وصيانة دكتات المكيفات بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/duct-cleaning-medina/,duct-cleaning-medina,1940,0,23,31,2,57,0,2026-09-06,2026-09-10,b910ae6bcca4a9bd|n=12,boilerplate_overuse|intent_mismatch,عنوان عن تكييف بينما النص/الأسئلة تتحدث عن تنظيف منازل أو رخام وخشب
12802,post,شركة شحن سيارات بمكة المكرمة,https://www.rukn-eltatawer.com/sa/car-shipping-mecca/,car-shipping-mecca,1777,0,23,30,2,56,0,2026-09-06,2026-09-10,e7f14e9818afd446|n=12,boilerplate_overuse|intent_mismatch,عنوان شحن سيارات بينما النص يعامل الخدمة كخدمة منزل/عقار || شحن سيارات يستخدم صياغة انتقال المنازل
